iter	Passed	Remaining
462	763	885
463	764	883
464	765	880
465	767	879
466	769	878
467	771	876
468	772	874
469	773	871
470	773	869
471	774	866
472	775	864
473	776	861
474	777	859
475	778	857
476	779	855
477	780	852
478	782	851
479	785	850
480	786	848
481	787	846
482	788	844
483	789	842
484	790	839
485	791	837
486	792	835
487	793	832
488	794	830
489	795	828
490	797	826
491	799	825
492	801	824
493	802	822
494	803	819
495	804	817
496	805	815
497	806	813
498	807	811
499	809	809
500	810	807
501	811	805
502	813	804
503	816	803
504	817	801
505	818	799
506	819	796
507	820	794
508	821	792
509	822	790
510	823	788
511	824	786
512	826	784
513	827	782
514	830	782
515	831	779
516	832	777
517	833	775
518	835	773
519	836	771
520	837	769
521	838	767
522	839	765
523	840	763
524	842	762
525	844	760
526	846	759
527	847	757
528	848	755
529	849	753
530	850	751
531	851	749
532	852	747
533	853	745
534	854	742
535	855	740
536	858	739
537	860	739
538	862	737
539	863	735
540	864	733
541	865	731
542	866	729
543	867	727
544	868	725
545	869	723
546	870	721
547	874	720
548	875	719
549	876	717
550	877	715
551	878	713
552	879	711
553	881	709
554	882	707
555	883	705
556	884	703
557	887	702
558	888	701
559	892	701
560	894	699
561	896	698
562	898	697
563	899	695
564	901	694
565	913	700
566	914	698
567	915	696
568	918	695
569	921	694
570	923	693
571	924	691
572	925	689
573	926	687
574	928	686
575	929	684
576	931	682
577	932	681
578	935	680
579	937	678
580	938	677
581	940	675
582	941	673
583	943	671
584	944	669
585	945	667
586	947	666
587	951	666
588	952	664
589	953	662
590	955	660
591	956	659
592	957	657
593	958	655
594	959	653
595	961	651
596	964	651
597	966	649
598	967	647
599	969	646
600	970	644
601	971	642
602	972	640
603	973	638
604	975	636
605	976	634
606	979	634
607	981	632
608	982	630
609	984	629
610	985	627
611	986	625
612	988	623
613	989	622
614	993	621
615	995	620
616	997	619
617	998	617
618	999	615
619	1000	613
620	1001	611
621	1003	609
622	1004	607
623	1006	606
624	1007	604
625	1009	602
626	1010	601
627	1011	599
628	1012	597
629	1013	595
630	1014	593
631	1015	591
632	1017	589
633	1018	587
634	1019	585
635	1021	584
636	1024	583
637	1026	582
638	1027	580
639	1029	578
640	1030	577
641	1032	575
642	1033	574
643	1037	573
644	1041	573
645	1045	573
646	1048	571
647	1050	570
648	1056	571
649	1057	569
650	1058	567
651	1060	565
652	1061	564
653	1062	562
654	1065	561
655	1067	559
656	1070	558
657	1072	557
658	1073	555
659	1074	553
660	1075	551
661	1076	549
662	1077	547
663	1081	547
664	1084	546
665	1085	544
666	1087	542
667	1090	541
668	1091	540
669	1092	538
670	1093	536
671	1095	534
672	1097	533
673	1098	531
674	1099	529
675	1100	527
676	1101	525
677	1102	523
678	1103	521
679	1104	519
680	1105	517
681	1106	516
682	1108	514
683	1109	512
684	1111	511
685	1113	509
686	1115	508
687	1116	506
688	1117	504
689	1118	502
690	1119	500
691	1121	499
692	1122	497
693	1123	495
694	1126	494
695	1129	493
696	1130	491
697	1131	489
698	1132	487
699	1133	485
700	1134	484
701	1136	482
702	1137	480
703	1138	478
704	1140	477
705	1142	475
706	1144	474
707	1145	472
708	1147	470
709	1148	468
710	1149	467
711	1150	465
712	1151	463
713	1152	461
714	1154	460
715	1157	459
716	1159	457
717	1160	455
718	1162	454
719	1163	452
720	1164	450
721	1165	448
722	1166	447
723	1167	445
724	1171	444
725	1173	443
726	1175	441
727	1176	439
728	1178	438
729	1180	436
730	1181	434
731	1182	433
732	1184	431
733	1187	430
734	1188	428
735	1190	426
736	1191	425
737	1192	423
738	1193	421
739	1194	419
740	1195	417
741	1196	416
742	1198	414
743	1202	413
744	1204	412
745	1206	410
746	1207	409
747	1208	407
748	1210	405
749	1211	403
750	1212	402
751	1214	400
752	1217	399
753	1218	397
754	1219	395
755	1220	393
756	1221	392
757	1222	390
758	1224	388
759	1225	386
760	1226	385
761	1228	383
762	1231	382
763	1232	380
764	1234	379
765	1235	377
766	1236	375
767	1237	373
768	1238	371
769	1239	370
770	1240	368
771	1241	366
772	1244	365
773	1246	364
774	1247	362
775	1249	360
776	1250	358
777	1251	357
778	1252	355
779	1253	353
780	1254	351
781	1255	349
782	1256	348
783	1257	346
784	1259	345
785	1262	343
786	1263	341
787	1264	340
788	1265	338
789	1266	336
790	1268	335
791	1269	333
792	1270	331
793	1271	329
794	1273	328
795	1276	327
796	1277	325
797	1278	323
798	1279	321
799	1280	320
800	1281	318
801	1282	316
802	1283	314
803	1284	313
804	1285	311
805	1285	309
806	1288	308
807	1290	306
808	1292	305
809	1293	303
810	1294	301
811	1295	299
812	1296	298
813	1297	296
814	1298	294
815	1299	293
816	1300	291
817	1304	290
818	1309	289
819	1310	287
820	1311	285
821	1312	284
822	1313	282
823	1314	280
824	1315	279
825	1317	277
826	1320	276
827	1321	274
828	1322	272
829	1324	271
830	1325	269
831	1326	267
832	1327	266
833	1329	264
834	1330	262
835	1332	261
836	1334	259
837	1337	258
838	1338	256
839	1339	255
840	1340	253
841	1341	251
842	1343	250
843	1344	248
844	1345	246
845	1347	245
846	1350	243
847	1352	242
848	1353	240
849	1354	239
850	1356	237
851	1357	235
852	1358	234
853	1359	232
854	1361	230
855	1363	229
856	1365	227
857	1367	226
858	1368	224
859	1369	222
860	1370	221
861	1371	219
862	1372	217
863	1373	216
864	1375	214
865	1376	212
866	1378	211
867	1382	210
868	1383	208
869	1384	206
870	1386	205
871	1387	203
872	1388	201
873	1389	200
874	1390	198
875	1392	197
876	1395	195
877	1397	194
878	1398	192
879	1399	190
880	1400	189
881	1401	187
882	1402	185
883	1403	184
884	1404	182
885	1405	180
886	1407	179
887	1409	177
888	1410	176
889	1411	174
890	1412	172
891	1413	171
892	1414	169
893	1416	167
894	1417	166
895	1418	164
896	1419	162
897	1420	161
898	1420	159
899	1423	158
900	1425	156
901	1426	155
902	1427	153
903	1428	151
904	1430	150
